uuid,country,source,school_id,giga_school_id,name,education_level,student_count,connectivity,type_connectivity,connectivity_speed,electricity_availability,lat,lon
557f2a82-c29c-3fc1-ba84-fbcde4c16531,Costa Rica,government,4052,G_CRI_000013,LICEO DE PARAISO,secondary,1807,YES,FO,115,Yes,9.83388236,-83.86794849
b0f553c0-b870-36bc-80d5-d72a0d66bbbf,Costa Rica,government,4059,G_CRI_000014,LICEO SAN DIEGO,secondary,731,YES,FO,50,Yes,9.90140857,-84.0009369
a5fbfc72-be25-31fc-a938-4f32219c61ba,Costa Rica,government,4078,G_CRI_000015,LICEO DE HEREDIA,secondary,1319,YES,FO,20,Yes,9.99908348,-84.11550342
faf2630b-4eb2-357e-b5dc-706309fe4be1,Costa Rica,government,4091,G_CRI_000016,LICEO DE RIO FRIO,secondary,1143,YES,FO,70,Yes,10.320924,-83.90684816
80f1fa1d-670d-378b-a371-d5bf9e5c92d4,Costa Rica,government,4101,G_CRI_000017,COLEGIO DE BAGACES,secondary,898,YES,FO,10,Yes,10.52889899,-85.25244321
484d0b48-ade3-3f44-a101-b36f161d4254,Costa Rica,government,4105,G_CRI_000018,LICEO DE NICOYA,secondary,1107,YES,FO,70,Yes,10.138952,-85.45125419
1e33536d-e129-3221-afdd-9c41826b7ca3,Costa Rica,government,4108,G_CRI_000019,LICEO SANTA CRUZ CLIMACO A. PEREZ,secondary,1498,YES,FO,10,Yes,10.26437139,-85.58354332
418ebcf3-b5f7-3142-b6c4-d30c52b08b1d,Costa Rica,government,4110,G_CRI_000020,LICEO MAURILIO ALVARADO VARGAS,secondary,827,YES,FO,55,Yes,10.47361924,-84.96534969
2b809d2a-9dad-3bd6-a8eb-020737447090,Costa Rica,government,4111,G_CRI_000021,LICEO MIGUEL ARAYA VENEGAS,secondary,927,YES,FO,60,Yes,10.42819154,-85.08667131
c69b1717-6afc-376b-86e3-f4d98f660842,Costa Rica,government,4116,G_CRI_000022,LICEO DIURNO JOSE MARTI,secondary,1029,YES,FO,60,Yes,9.9775985,-84.83552861
d87b84ae-66c4-3417-a927-8fc929bd578b,Costa Rica,government,4117,G_CRI_000023,LICEO DE ESPARZA,secondary,1228,YES,FO,60,Yes,9.99248427,-84.66946126
7f046133-334f-3169-b0b8-02c63391d837,Costa Rica,government,4124,G_CRI_000024,LICEO PACIFICO SUR,secondary,827,YES,FO,50,Yes,8.97787175,-83.53131252
f77a9cb3-efa2-3068-8512-db964894e06c,Costa Rica,government,4125,G_CRI_000025,LICEO CIUDAD NEILY,secondary,1281,YES,FO,100,Yes,8.6516495,-82.94416973
884be964-0c93-39d9-9ee1-e98df33d3244,Costa Rica,government,4133,G_CRI_000026,COLEGIO DE LIMON,secondary,1625,YES,FO,105,Yes,9.99948041,-83.03361919
03ba40fe-4134-3d5e-85e9-ad3ce66e3ab3,Costa Rica,government,4139,G_CRI_000027,LICEO DE POCORA,secondary,568,YES,ADSL,10,Yes,10.17010301,-83.60434553
dd252e9b-9957-3e67-af3c-9f58a54cc33f,Costa Rica,government,4141,G_CRI_000028,LICEO DE CARIARI,secondary,1677,YES,FO,100,Yes,10.3717014,-83.72749193
e1678591-1e96-33ac-83cf-dff7c6301e3c,Costa Rica,government,4159,G_CRI_000029,C.T.P. MONSENOR SANABRIA,secondary,1022,YES,FO,155,Yes,9.88643611,-84.06828104
5706fce9-8534-38a3-9f7f-41ba78b982ac,Costa Rica,government,4170,G_CRI_000030,C.T.P. DE BUENOS AIRES,secondary,814,YES,FO,150,Yes,9.18092296,-83.3329013
4a9df727-0e60-3383-8c90-71e54dc5c562,Costa Rica,government,4172,G_CRI_000031,C.T.P. RICARDO CASTRO BEER,secondary,1377,YES,FO,200,Yes,9.90692628,-84.53386695
eec4bd06-cc1b-32b8-b15d-4089a40443b0,Costa Rica,government,4209,G_CRI_000032,C.T.P. DE PUNTARENAS,secondary,1341,YES,FO,235,Yes,9.97884438,-84.73116618
6db7ccc5-e27d-3ae3-8206-ca10d3fc78e6,Costa Rica,government,4213,G_CRI_000033,C.T.P. DE OSA,secondary,817,YES,FO,105,Yes,8.96375296,-83.45548162
239191db-6ef6-344e-82b9-e05a27c42215,Costa Rica,government,4214,G_CRI_000034,C.T.P. CARLOS MANUEL VICENTE CASTRO,secondary,842,YES,FO,115,Yes,8.64825093,-83.18082989
3cbc92b1-9d36-332b-b531-263510ae2e65,Costa Rica,government,4217,G_CRI_000035,C.T.P. GUAYCARA,secondary,1065,YES,FO,145,Yes,8.67642464,-83.0698718
5a967b68-f46b-30b6-a502-8e7fd3ab2fce,Costa Rica,government,4221,G_CRI_000036,C.T.P. DE LIMON,secondary,1441,YES,FO,225,Yes,9.99716814,-83.0431564
b091c95a-9fc2-3444-b5b4-7ee02e744241,Costa Rica,government,4222,G_CRI_000037,C.T.P. DE BATAAN,secondary,1731,YES,ADSL,10,Yes,10.08405869,-83.34484549
d506605f-c8d3-3be6-89de-d5324d812578,Costa Rica,government,4226,G_CRI_000038,C.T.P. PADRE ROBERTO EVANS,secondary,1751,YES,FO,230,Yes,10.0913132,-83.50916808
08af0423-52e2-3648-a30b-7682bcdaac5c,Costa Rica,government,4227,G_CRI_000039,C.T.P. DE POCOCI,secondary,2357,YES,FO,285,Yes,10.21682925,-83.77950812
973a0ff3-de89-3d61-9cbf-7e1aa3ff480b,Costa Rica,government,4229,G_CRI_000040,C.T.P. DE JACO,secondary,1354,YES,FO,170,Yes,9.62776173,-84.6231437
67670906-c7f7-32e8-8943-f7ea70a73a38,Costa Rica,government,4230,G_CRI_000041,C.T.P. DE PARRITA,secondary,1567,YES,FO,200,Yes,9.52167142,-84.32697253
912298bb-e1fb-3b92-baf6-582aa384542c,Costa Rica,government,4822,G_CRI_000042,NOCTURNO JOSE JOAQUIN JIMENEZ NUNEZ,secondary,690,NO,,0,Yes,9.94350864,-84.06152287
4bc59127-a2c0-3800-86b2-a3d19c746572,Costa Rica,government,4824,G_CRI_000043,NOCTURNO DE HATILLO,secondary,495,YES,ADSL,10,Yes,9.92195334,-84.10373486
5e947d4e-2585-30bf-bb22-acc1cd3c4fec,Costa Rica,government,4825,G_CRI_000044,NOCTURNO BRAULIO CARRILLO COLINA,secondary,278,YES,ADSL,10,Yes,9.95754211,-84.08078931
2936c0fe-483b-34e2-a78d-5d385548d384,Costa Rica,government,4837,G_CRI_000045,NOCTURNO DESAMPARADOS,secondary,1116,YES,FO,10,Yes,9.90180761,-84.06707439
81e5d0ea-9700-334f-abd3-613ba63aa79d,Costa Rica,government,4838,G_CRI_000046,NOCTURNO DE PURISCAL,secondary,373,YES,ADSL,10,Yes,9.84716076,-84.31321093
64d2f964-5307-3b12-a111-98db9da0bf46,Costa Rica,government,4840,G_CRI_000047,NOCTURNO DE PEREZ ZELEDON,secondary,982,YES,ADSL,10,Yes,9.38339536,-83.70467029
cafec6ab-c9ad-3e10-9764-2abe6d5d960e,Costa Rica,government,4841,G_CRI_000048,NOCTURNO DE BUENOS AIRES,secondary,626,YES,LTE,6,Yes,9.18092296,-83.3329013
ec00c93e-2ce0-3b72-9d9e-3b61da99f21f,Costa Rica,government,4843,G_CRI_000049,NOCTURNO DE GRECIA,secondary,590,YES,FO,10,Yes,10.08214199,-84.31264387
72367241-c6b9-3ea0-bcf2-036dab7727c1,Costa Rica,government,4848,G_CRI_000050,NOCTURNO DE PALMARES,secondary,667,YES,ADSL,10,Yes,10.05386587,-84.4348726
9367c7aa-2c7c-3e8b-ab73-df5ea454ddef,Costa Rica,government,4853,G_CRI_000051,NOCTURNO DE CARTAGO,secondary,1682,YES,ADSL,10,Yes,9.86289314,-83.92263097
5b346bdc-3f73-3940-8059-d95c298efb0e,Costa Rica,government,4854,G_CRI_000052,SECCION NOCTURNA ACADEMICA DE PARAISO,secondary,838,NO,,0,Yes,9.83388236,-83.86794849
9d5d7844-c775-3075-8509-045faee68f60,Costa Rica,government,4855,G_CRI_000053,NOCTURNO DE LA UNION,secondary,1019,NO,,0,Yes,9.90358756,-83.99496993
ec54c675-60c6-3000-881b-2a90a120a713,Costa Rica,government,4859,G_CRI_000054,NOCTURNO PBRO. ENRIQUE MENZEL,secondary,627,YES,ADSL,10,Yes,9.90713422,-83.68663266
a62c2bb0-92c9-33ee-9476-45e1945fb145,Costa Rica,government,4860,G_CRI_000055,NOCTURNO ALFREDO GONZALEZ FLORES,secondary,1146,YES,FO,10,Yes,9.99908348,-84.11550342
1e5e8c24-5447-3f66-bd4d-cc66a4c25d74,Costa Rica,government,4861,G_CRI_000056,NOCTURNO HERMAN LOPEZ HERNANDEZ,secondary,260,YES,FO,10,Yes,10.02128537,-84.11975967
6ec9c3e4-2647-3bff-a7cb-f067af35ff51,Costa Rica,government,4862,G_CRI_000057,NOCTURNO DE RIO FRIO,secondary,851,YES,LTE,6,Yes,10.320924,-83.90684816
696050a0-0c3b-3b1b-89e1-5f1d51acd8bd,Costa Rica,government,4867,G_CRI_000058,NOCTURNO LA CRUZ,secondary,583,YES,FO,35,Yes,11.07628628,-85.63241777
46ff9221-9177-3f42-960c-3b33ab8fa6a0,Costa Rica,government,4871,G_CRI_000059,NOCTURNO DE NICOYA,secondary,285,YES,LTE,6,Yes,10.138952,-85.45125419
dec280cf-388c-31df-a90c-910107db2c9e,Costa Rica,government,4872,G_CRI_000060,LICEO NOCTURNO DE SANTA CRUZ,secondary,231,YES,FO,15,Yes,10.26437139,-85.58354332
ad61b621-3def-326a-8809-1d6a78b39084,Costa Rica,government,4874,G_CRI_000061,NOCTURNO MAURILIO ALVARADO VARGAS,secondary,181,YES,FO,20,Yes,10.47361924,-84.96534969
c8c668c0-23e6-3553-87df-93909bd2f255,Costa Rica,government,4875,G_CRI_000062,NOCTURNO JUAN SANTAMARIA,secondary,517,YES,FO,35,Yes,10.42819154,-85.08667131
be2bf049-fee2-31d3-a9b6-9e0de9ae5e1f,Costa Rica,government,4877,G_CRI_000063,NOCTURNO JOSE MARTI,secondary,279,YES,ADSL,10,Yes,9.9775985,-84.83552861
2b26597e-74aa-3fb8-bad6-f92c30c08ca1,Costa Rica,government,4878,G_CRI_000064,NOCTURNO DE ESPARZA,secondary,260,YES,FO,10,Yes,9.99248427,-84.66946126
cdf2e7db-7b73-32e9-835b-c744486e22b8,Costa Rica,government,4881,G_CRI_000065,NOCTURNO DE CIUDAD NEILY,secondary,717,YES,FO,10,Yes,8.6516495,-82.94416973
1a3dacdd-97c1-3e50-9f8a-be1acda433ad,Costa Rica,government,4882,G_CRI_000066,NOCTURNO DE GOLFITO,secondary,232,YES,ADSL,10,Yes,8.64825093,-83.18082989
b18d09d0-f19d-3f5b-8b9f-b77b8afde5de,Costa Rica,government,4883,G_CRI_000067,NOCTURNO DE SAN VITO,secondary,523,YES,LTE,6,Yes,8.82902368,-82.96273494
e255f25b-59cf-3fc7-9a3c-86a28edc1d9a,Costa Rica,government,4884,G_CRI_000068,NOCTURNO DE OSA,secondary,576,YES,FO,10,Yes,8.96375296,-83.45548162
e1b5c8d2-c5a7-3a92-8818-9098b95889f4,Costa Rica,government,4889,G_CRI_000069,NOCTURNO DE LIMON,secondary,836,YES,ADSL,5,Yes,9.99948041,-83.03361919
008a00bf-baf3-3b81-973d-f35561f0550a,Costa Rica,government,4890,G_CRI_000070,NOCTURNO DE BATAAN,secondary,627,YES,ADSL,10,Yes,10.08405869,-83.34484549
4af1ac65-3435-3ffb-ac3e-2bc72b08bab4,Costa Rica,government,4893,G_CRI_000071,NOCTURNO DE POCOCI,secondary,892,NO,,0,Yes,10.21682925,-83.77950812
05d311fa-398a-3527-9c73-319f6c35a409,Costa Rica,government,4894,G_CRI_000072,NOCTURNO DE GUACIMO,secondary,350,YES,ADSL,10,Yes,10.21143751,-83.67591744
691b3dd0-c734-3a72-a6ef-482327b97d9d,Costa Rica,government,4896,G_CRI_000073,NOCTURNO DE QUEPOS,secondary,646,YES,ADSL,4,Yes,9.45162576,-84.16633996
18717583-16a0-362c-94dd-94161e044268,Costa Rica,government,5077,G_CRI_000074,COLEGIO RODRIGO HERNANDEZ VARGAS,secondary,977,YES,FO,70,Yes,10.02128537,-84.11975967
390d7763-f6c5-3c4e-8924-75a2892aafe3,Costa Rica,government,5284,G_CRI_000075,NOCTURNO PACIFICO SUR,secondary,232,YES,ADSL,11,Yes,8.97787175,-83.53131252
62c92683-b3ec-3357-ac8c-96dcf8cecbd1,Costa Rica,government,5682,G_CRI_000076,NOCTURNO LA JULIETA,secondary,813,NO,,0,Yes,9.52167142,-84.32697253
e5f12fa9-25a4-3c18-82d1-27eb0beec1c3,Costa Rica,government,5706,G_CRI_000077,NOCTURNO DE SIQUIRRES,secondary,791,NO,,0,Yes,10.0913132,-83.50916808
5d43b74f-4918-32d0-9ac3-396e5e5f3cbb,Costa Rica,government,5732,G_CRI_000078,NOCTURNO GUAYCARA,secondary,620,YES,ADSL,10,Yes,8.67642464,-83.0698718
467ae26e-4fba-3723-b4da-bd36ec29e217,Costa Rica,government,5748,G_CRI_000079,C.T.P. DE QUEPOS,secondary,1162,YES,FO,130,Yes,9.45162576,-84.16633996
89b961e7-8ccc-3c35-bd8e-405b0cf6d114,Costa Rica,government,5806,G_CRI_000080,NOCTURNO DE PALMARES,secondary,750,YES,FO,16,Yes,9.3135149,-83.66605041
a35c8f68-84f3-3c6d-bea2-b6bfc8b95525,Costa Rica,government,5807,G_CRI_000081,NOCTURNO DE CARIARI,secondary,424,YES,ADSL,10,Yes,10.3717014,-83.72749193
3ee0b3e5-031e-3ce6-a978-e6704cf01029,Costa Rica,government,5815,G_CRI_000082,NOCTURNO DE SINAI,secondary,477,NO,,0,Yes,9.37956942,-83.68900734
94600df6-5365-3765-8fc0-c21f7b3b54d2,Costa Rica,government,5816,G_CRI_000083,NOCTURNO OROTINA,secondary,510,YES,FO,30,Yes,9.90692628,-84.53386695
18dfe21e-12e6-3522-b23f-4bb1238913f1,Costa Rica,government,5827,G_CRI_000084,SECCION NOCTURNA C.T.P. MONSENOR SANABRIA,secondary,238,NO,,0,Yes,9.88643611,-84.06828104
237402d8-e0a6-32de-afd4-d8f31fb912b8,Costa Rica,government,5834,G_CRI_000085,UNIDAD PEDAGOGICA SAN DIEGO,secondary,487,YES,ADSL,5,Yes,9.90140857,-84.0009369
19b0b136-76ce-3594-93c7-1ce176da973e,Costa Rica,government,5966,G_CRI_000086,SECCION NOCTURNA C.T.P. MARIO QUIROS SASSO,secondary,346,NO,,0,Yes,9.90358756,-83.99496993
67786998-9111-31fd-9b5a-99b8faa8af03,Costa Rica,government,6021,G_CRI_000087,SECCION NOCTURNA C.T.P. PUNTARENAS,secondary,366,YES,ADSL,4,Yes,9.97884438,-84.73116618
2b1cd676-96ca-3443-ac10-4206f3c02121,Costa Rica,government,6101,G_CRI_000088,NOCTURNO DE POCORA,secondary,181,YES,ADSL,5,Yes,10.17010301,-83.60434553
aa840bf2-3535-3cde-9bfd-3ad35d09ae38,Costa Rica,government,6113,G_CRI_000089,NOCTURNO DE SAN PEDRO,secondary,641,YES,ADSL,20,Yes,9.27939347,-83.55196679
4cde3a0b-bcf1-34ef-87c2-2946bd9ea21b,Costa Rica,government,6147,G_CRI_000090,SECCION NOCTURNA C.T.P. DE BUENOS AIRES,secondary,314,NO,,0,Yes,9.18092296,-83.3329013
0f67d4fc-6956-3178-a4cf-ecfdce9f696c,Costa Rica,government,6148,G_CRI_000091,SECCION NOCTURNA C.T.P. DE LIMON,secondary,334,NO,,0,Yes,9.99716814,-83.0431564
d3aa85f9-ebfa-367a-9154-5dc16774eb19,Costa Rica,government,6156,G_CRI_000092,LICEO BILINGUE ITALO COSTARRICENSE,secondary,261,YES,FO,15,Yes,8.82902368,-82.96273494
a47d00a6-0da8-33c2-a8d5-c2f9783a15aa,Costa Rica,government,6456,G_CRI_000093,COLEGIO OMAR SALAZAR OBANDO,secondary,704,YES,ADSL,10,Yes,9.90713422,-83.68663266
c3cd3fdc-1f38-336f-99ae-b3cee10b9f7c,Costa Rica,government,6475,G_CRI_000094,NOCTURNO DE BAGACES,secondary,419,YES,FO,10,Yes,10.52889899,-85.25244321
453fbec0-0528-351a-af47-16dc7a7363e9,Costa Rica,government,6479,G_CRI_000095,COLEGIO DE GUACIMO,secondary,394,YES,FO,30,Yes,10.21143751,-83.67591744
4a8c604d-0833-3e3a-8cbc-80423bd95b1c,Costa Rica,government,6523,G_CRI_000096,NOCTURNO DE JACO,secondary,303,YES,ADSL,10,Yes,9.62776173,-84.6231437
09d287c4-c838-3e14-8d84-768258c093df,Costa Rica,government,6796,G_CRI_000097,COLEGIO DIURNO LA CRUZ,secondary,266,NO,,0,Yes,11.07628628,-85.63241777
50a8bd9d-f2bd-369d-ae97-b8c80afbd654,Costa Rica,government,301,G_CRI_000098,MARIA INMACULADA,,,NO,,0,No,9.96409266,-84.04608886
65505eba-81a5-3025-9b5d-f0921aea6c7c,Costa Rica,government,302,G_CRI_000099,MADRE DEL DIVINO PASTOR,,,NO,,0,No,9.95524716,-84.04097857
4ec4915a-a120-3d86-bd12-80cc4d58ba75,Costa Rica,government,304,G_CRI_000100,J.N. ANDRES BELLO LOPEZ,,,YES,FO,15,Yes,9.93279578,-84.18219286
70f42a11-cc9a-37e0-9b32-90044f2b605f,Costa Rica,government,305,G_CRI_000101,DON BOSCO,,,NO,,0,No,9.89018397,-84.08701074
d479f95f-14ca-33e1-8781-56c835f5c409,Costa Rica,government,306,G_CRI_000102,EL CARMEN,Primary,260,YES,ADSL,10,Yes,9.8967534,-84.14121184
e0006603-653c-3064-98a6-cfe5ed783bcb,Costa Rica,government,307,G_CRI_000103,DAVID MARIN HIDALGO,Primary,65,YES,ADSL,10,Yes,9.90327017,-84.15965354
51c7433b-87b1-3d96-9617-2aafaeb4252d,Costa Rica,government,308,G_CRI_000104,BELLO HORIZONTE,Primary,339,YES,FO,30,Yes,9.91935087,-84.13000764
11051979-f9a4-35d2-a0d5-7c1aa22fd754,Costa Rica,government,309,G_CRI_000105,BETANIA,Primary,165,YES,FO,15,Yes,9.93971231,-84.0535617
329daeee-cf8b-3165-8e6f-d0b00bd6a681,Costa Rica,government,310,G_CRI_000106,BRASIL DE SANTA ANA,Primary,135,YES,FO,10,Yes,9.93543488,-84.22480796
9dd9e289-95f2-3013-8330-87b5be5bf07f,Costa Rica,government,311,G_CRI_000107,CARMEN LYRA,Primary,602,YES,FO,100,Yes,9.89313568,-84.08764071
5d82f338-4fa8-3c8b-8132-0abc3885d72f,Costa Rica,government,312,G_CRI_000108,SAN RAFAEL,Primary,249,YES,FO,30,Yes,9.94677813,-84.08737603
365eed05-afeb-37b1-b1c8-6cab2377fdc3,Costa Rica,government,313,G_CRI_000109,PATIO DE AGUA,Primary,84,YES,FO,3,Yes,9.97489483,-83.96508638
d6aff34e-a4f8-3fea-b351-d3c510b10839,Costa Rica,government,314,G_CRI_000110,MONTERREY VARGAS ARAYA,Primary,347,YES,FO,30,Yes,9.93773354,-84.03428572
681fd587-72c9-32c6-b873-3d2ef1437dd3,Costa Rica,government,315,G_CRI_000111,BUENAVENTURA CORRALES,Primary,729,YES,ADSL,10,Yes,9.93611332,-84.07431514
63ed1409-c975-3d20-abf6-73a3b00651a8,Costa Rica,government,317,G_CRI_000112,EL ROSARIO,,,NO,,0,No,9.92381395,-84.06638152
e20dae8a-27c3-3c05-9fc6-5643fea8b516,Costa Rica,government,318,G_CRI_000113,LA PEREGRINA,Primary,246,YES,FO,10,Yes,9.95606208,-84.10081941
f915d911-710e-36bf-af71-22a9c0beccf9,Costa Rica,government,319,G_CRI_000114,JESUS JIMENEZ ZAMORA,Primary,344,YES,FO,30,Yes,9.96619241,-84.08230782
367af917-bb03-3074-8567-956ca0e9aa8c,Costa Rica,government,320,G_CRI_000115,CARLOS SANABRIA MORA,Primary,1022,YES,ADSL,10,Yes,9.94327177,-84.13068339
e23ddda3-2035-31b8-84f5-9dc9fffdc4df,Costa Rica,government,321,G_CRI_000116,CAROLINA DENT ALVARADO,Primary,533,YES,ADSL,5,Yes,9.91767437,-84.0883152
34fb223e-111f-3b9e-8b65-c696ff6b69ed,Costa Rica,government,322,G_CRI_000117,PIO XII,Primary,71,YES,ADSL,10,Yes,10.00297689,-83.95935345
ce51acf4-5c59-3a86-ba70-c7b91251401a,Costa Rica,government,323,G_CRI_000118,BARRIO LAMPARAS,Primary,100,YES,ADSL,2,Yes,9.87548491,-84.10630401
194111f0-13d0-3d47-b344-d3fe580efec2,Costa Rica,government,324,G_CRI_000119,SAN RAFAEL,Primary,207,YES,FO,15,Yes,9.9252792,-84.17727623
8ca779f1-1c0c-385e-8016-18189304aed6,Costa Rica,government,325,G_CRI_000120,ESMERALDA OREAMUNO,Primary,467,YES,FO,30,Yes,9.94681611,-84.08072828
65e3339d-8d0a-3b5c-abdc-1c132154a689,Costa Rica,government,326,G_CRI_000121,J.N. ESMERALDA OREAMUNO,,,YES,ADSL,4,Yes,9.946724,-84.08097305
b281ea7c-3739-3539-80f5-fcc5e1815e3e,Costa Rica,government,327,G_CRI_000122,CORAZON DE JESUS,Primary,211,YES,FO,20,Yes,9.91443435,-84.14771007
75d301ce-4667-32bc-b2ee-3313467b0aa3,Costa Rica,government,328,G_CRI_000123,CIUDADELA DE PAVAS,Primary,939,YES,FO,70,Yes,9.94691426,-84.13699162
84d01844-6eff-3c44-b3e7-488527c8e91c,Costa Rica,government,329,G_CRI_000124,QUINCE DE SETIEMBRE,Primary,317,YES,FO,45,Yes,9.91184554,-84.09641482
076838e8-83e5-3c59-a98c-d775ce54333c,Costa Rica,government,330,G_CRI_000125,CONCEPCION,Primary,1018,YES,FO,20,Yes,9.8955359,-84.09381677
cdb93c31-6f07-302c-8404-9bc1fe0f01ed,Costa Rica,government,331,G_CRI_000126,J.N. CONCEPCION,,,YES,ADSL,5,Yes,9.89590304,-84.09393077
07335195-e4c1-350f-8fc6-17dc270ded18,Costa Rica,government,332,G_CRI_000127,CORAZON DE JESUS,Primary,59,YES,ADSL,10,Yes,9.95903829,-84.11263068
e1b6f492-e825-3c41-ae27-a793c3fdfe44,Costa Rica,government,333,G_CRI_000128,PLATANARES,Primary,266,YES,FO,30,Yes,10.00161599,-84.01236762
2d4e9361-b5cd-3a29-8081-e39087c2d428,Costa Rica,government,334,G_CRI_000129,COSTA RICA,Primary,263,YES,FO,4,Yes,9.94239283,-84.09307608
cd14c7b6-ef21-3c9d-af57-5eeb84f75691,Costa Rica,government,335,G_CRI_000130,JUAN SANTAMARIA,Primary,802,YES,FO,55,Yes,9.91184039,-84.03741598
4159fb4c-27d6-3a92-985f-7baf163c188a,Costa Rica,government,336,G_CRI_000131,LEON XIII,Primary,965,YES,FO,100,Yes,9.96051217,-84.09835411
60a53aeb-a1f9-395f-8ef4-111c5493786e,Costa Rica,government,337,G_CRI_000132,LAS BRISAS,Primary,125,YES,ADSL,10,Yes,9.96454154,-84.12726687
99d68cbb-df3c-3144-8f6f-68ed09a20d25,Costa Rica,government,338,G_CRI_000133,APOLINAR LOBO UMANA,Primary,608,YES,FO,70,Yes,9.9931875,-84.02551454
65e87da7-20b3-33d1-8e6e-2c6277117c6c,Costa Rica,government,339,G_CRI_000134,DULCE NOMBRE,Primary,751,YES,FO,50,Yes,9.98265464,-84.01448062
015e224d-374f-3b71-b2df-dc4a95b71212,Costa Rica,government,340,G_CRI_000135,EL LLANO,Primary,129,YES,ADSL,10,Yes,9.88540876,-84.11455814
3131b61a-76a3-3d52-aa6e-5cf508e44b5c,Costa Rica,government,341,G_CRI_000136,PABELLON,Primary,11,YES,WiMAX,4,Yes,9.8948505,-84.18645662
72882953-2560-3856-a03e-fb04450d3748,Costa Rica,government,342,G_CRI_000137,LOMAS DEL RIO,Primary,1186,YES,FO,100,Yes,9.95963932,-84.16217913
6755f0f7-7ae1-347d-8605-4dc7f51f83bb,Costa Rica,government,343,G_CRI_000138,REPUBLICA DE VENEZUELA,Primary,672,YES,FO,55,Yes,9.91922149,-84.14063416
b75bf8c1-c8eb-3bb0-98ea-3a4fd4a67765,Costa Rica,government,344,G_CRI_000139,ESPANA,Primary,252,YES,FO,20,Yes,9.93099684,-84.07465454
0c5b2747-9d01-36e4-87f3-a58e3ab8f51d,Costa Rica,government,345,G_CRI_000140,DOCTOR FERRAZ,Primary,277,YES,FO,10,Yes,9.94297818,-84.06766972
39a17173-c2d5-307f-91e0-49b60630cc42,Costa Rica,government,346,G_CRI_000141,CLAUDIO CORTES CASTRO,Primary,219,YES,ADSL,10,Yes,9.94139153,-84.06802099
444e9262-b2a1-30d3-8dcb-0f31d5f6b995,Costa Rica,government,347,G_CRI_000142,MARCELINO GARCIA FLAMENCO,Primary,422,YES,FO,10,Yes,9.92848457,-84.07837113
1812a869-0fff-3ff8-b6c4-0ae6433f8177,Costa Rica,government,348,G_CRI_000143,LOS SITIOS,Primary,160,YES,ADSL,6,Yes,9.98301167,-84.04062984
fe6614a7-cd7e-3c93-b5f3-0093bd7e4f01,Costa Rica,government,349,G_CRI_000144,JOSE ANGEL VIETO RANGEL,Primary,125,YES,FO,15,Yes,9.92684553,-84.01360937
974f9bea-07f3-367a-bbe3-feb24474e173,Costa Rica,government,350,G_CRI_000145,GUACHIPELIN,Primary,467,YES,FO,10,Yes,9.94433536,-84.15935382
